,Country Name,"Cause of death, by non-communicable diseases (% of total)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),People using at least basic sanitation services (% of population),"Mortality rate, infant (per 1,000 live births)",communicable diseases
23,Bolivia,64.6162738997523,,66.162,0.626477165462256,48.08580986572,33.3,26.0196477484005
24,Bosnia and Herzegovina,93.344101873251,1.46939666572905,77.073,0.0107183952195115,95.2184859381301,5.8,2.1246786154964
25,Botswana,38.1681160922247,14.4860707823841,60.013,0.504026481801442,66.8374083076875,45.6,52.4056654326472
26,Brazil,73.0184281962182,26.6300331445086,73.182,0.131890279498623,81.854207204088,16.6,13.824082750291
27,British Virgin Islands,,,75.428,,96.8458493024197,13.6,..
28,Brunei Darussalam,81.7066076948468,0.252491778236471,74.849,0.0864774072059232,84.8812005903915,8.1,11.8298683594016
29,Bulgaria,94.8588737690579,1.94935047444622,73.5121951219512,0.0178156731718508,85.9314025243646,9,2.40866442867839
30,Burkina Faso,27.0059366908127,0.788198249930744,56.477,2.20587725182095,17.5931679395271,68,65.1107187445876
31,Burundi,29.7279796994411,,57.081,3.90099291592959,45.930071391903,59.2,60.5301584325218
32,Cabo Verde,62.1703714159242,,73.499,0.148999666513968,59.6818525468582,21.4,22.681709806951
33,Cambodia,57.270761623233,2.30444712345125,67.712,0.838671411154152,38.0261681716986,37.3,33.2292981642887
34,Cameroon,31.3353581312445,5.02564727658086,56.582,2.88719877500699,40.2024295671356,68.8,60.3595352645135
35,Canada,88.7360795967705,1.64000010305207,81.3221951219512,0.0207495390816671,99.5126201247374,5,5.21486099636725
36,Cayman Islands,,16.6440123165691,82.190243902439,,83.5017524539877,..,..
37,Central African Republic,28.6204147295789,,49.255,6.12286060505998,17.9009514050434,90.5,64.0852580973493
38,Chad,23.2731350349084,,49.584,8.90437610803731,10.6144009031658,84,69.3369733009343
39,Channel Islands,,0,81.12,,,..,..
40,Chile,83.4808943138178,3.18157401699654,78.501,0.040505946973268,97.102236534404,7.5,8.13629253118485
41,China,86.4467666901341,0.99466591452023,75.599,0.0574571135776393,75.801047562911,12.5,5.09855007586708
42,Colombia,68.3482972289314,34.4942938820122,75.033,0.146117833815027,84.314142164482,15.7,11.008446288901
43,Comoros,38.1365822132766,,61.123,1.47288232183933,34.3266154418974,54.6,51.642027749975
44,"Congo, Dem. Rep.",28.4470948046941,,56.417,3.88415747056839,19.4987268908352,83.4,63.5861572654645
45,"Congo, Rep.",36.7408231155986,,61.683,1.91643405635399,16.0823109686403,43.2,54.5633379079031
46,Costa Rica,81.2426753069014,11.4013700898794,78.67,0.0553738999791389,95.9220323752263,9.2,6.9212271730175
47,Cote d'Ivoire,30.0540830023275,,55.023,3.05888242976036,27.5606050351637,72.3,61.75800690055
48,Croatia,92.7766093279369,1.41919233306521,76.4756097560976,0.0100761066192629,96.7812677036741,4.7,1.68463163538551
49,Cuba,85.0240003075382,4.4728195392243,77.661,0.0569465227924668,86.2315854351565,4.9,7.22610716888934
50,Curacao,,,,,98.7528004050669,..,..
51,Cyprus,90.4474462803766,0.708161696330527,79.665,0.0373231231630978,99.5722799385489,2.8,3.82787915119462
52,Czechia,89.9221699012801,0.984256765260208,77.4243902439025,0.007407522531598,99.1302073873726,2.7,4.56675539494744
53,Denmark,89.8342157756743,0.756641079287248,79.1,0.0113498823774159,99.5972315674596,3.5,6.60022501587408
54,Djibouti,39.8981942595174,,60.259,0.895590561132242,54.9325895806101,62,51.2007629145364
55,Dominica,,21.8165951567159,71.55,,76.5993821054773,21.5,..
56,Dominican Republic,64.3635443434705,25.3075082180353,72.093,0.252014902469886,82.5312234804459,28.9,21.8109565695697
57,Ecuador,69.9286421272243,17.5054873932305,75.43,0.209540160881091,80.3840121976879,16.2,14.5584466555545
58,"Egypt, Arab Rep.",81.9617087171341,2.10767808732305,69.664,0.14481817624451,94.3654653837058,24,12.7963030093853
59,El Salvador,64.4802425556674,65.2106231981517,71.848,0.085777373023372,83.7547743731515,16.4,15.072055030061
60,Equatorial Guinea,30.6886669242047,,57.878,1.17927936603175,63.8311923686012,79,62.8586572469484
61,Eritrea,42.8209945191882,,63.787,2.22153576750398,11.2019449777584,39.1,46.5216830030311
62,Estonia,92.005940590055,5.25709050081297,75.4292682926829,0.0140756980505698,99.2679099670805,3.6,2.04932766530349
63,Eswatini,38.1898817652234,18.9104662157248,46.619,2.10934490466291,56.502583277554,58.4,51.4113783177226
64,Ethiopia,32.7501686912737,,59.73,3.3186113774456,5.88367348842843,54.6,57.5492694627423
65,Faroe Islands,,,80.6365853658537,,90.8834757181354,..,..
66,Fiji,83.9361708363845,2.20953092210906,67.328,0.127438615300018,91.2985218075568,18.9,9.92917999321239
67,Finland,91.4489463285919,2.2001496661133,79.8707317073171,0.0122055094930813,99.448080130139,2.5,1.93404231859438
68,France,87.1560813588257,1.2747305942565,81.6634146341463,0.0193158275088565,98.6554788973478,3.1,5.90480937893407
69,French Polynesia,,,81.039,,97.5238985001313,..,..
70,Gabon,42.5783697143894,,63.898,0.838058258929482,44.0184608469988,41.5,49.7245395347697
71,"Gambia, The",32.5637311852131,,60.717,3.42964227911815,46.3547751187486,45.6,57.8494620068573
72,Georgia,92.3965711104472,4.87381383230067,72.128,0.0850511214963101,87.7419001831827,12.6,2.8821879947294
73,Germany,91.500669582915,0.975098828664069,79.9878048780488,0.00857710065304371,99.2241473321448,3.5,4.63146515804543
74,Ghana,38.5272085965894,1.6500670056238,61.157,1.43045302604036,14.9904419527654,47.3,53.3368829625446
75,Gibraltar,,3.19877167167808,80.958,,100,..,..
76,Greece,91.2738889074434,1.59510115433664,80.3878048780488,0.00478139826646228,98.5652450170129,3.3,5.73506651720784
77,Greenland,,19.5205054036308,70.0807317073171,,,..,..
78,Grenada,84.9670600319015,8.76892992748095,74.999,0.0660557274192883,92.4890015648732,12.6,10.0344049950326
79,Guam,,1.81922925320639,76.879,,89.6112807416772,..,..
80,Guatemala,54.5800602362564,40.9815747252601,70.878,0.463787142872734,65.3698828920577,28.6,28.3414118951755
81,Guinea,29.1475524000434,,56.72,4.07026343875717,17.8258881812328,76.7,62.9671102176884
82,Guinea-Bissau,29.5112890818905,,56.23,4.12764748502915,13.4760634593862,72.6,62.4850073160341
83,Guyana,65.6094943855358,18.7182917152172,66.743,0.400506023472862,83.6938763663537,30.5,20.5004228003982
84,Haiti,16.3212192582758,6.87806820767905,46.019,1.29291859424016,27.1564387955898,81.6,10.2500040055332
85,Honduras,62.6194172292613,73.7906733961016,71.088,0.250920141754579,74.0395437244252,20.8,15.4073952718777
86,"Hong Kong SAR, China",,0.490715831719521,82.9575609756098,,96.6359841827768,..,..
87,Hungary,92.9856166280788,1.38182054857274,74.2073170731707,0.0208378427174324,98.0084031317034,5.1,1.50244652228847
88,Iceland,89.8244503819077,0.628272909186292,81.8975609756097,0.00611522105666854,98.7847544977645,2.1,4.6328431885499
89,India,54.7948740551498,3.74492100127032,66.909,0.485168681094142,42.7083153635918,46.7,35.0090893635252
90,Indonesia,69.0694680236578,,68.679,0.520272016011091,61.8456968664636,27.8,25.3232657616765
91,"Iran, Islamic Rep.",74.6220121885318,,73.069,0.0650129483543496,85.1656679433689,16.5,10.375078918592
92,Iraq,60.4232720654822,8.60710301896297,67.062,0.546649105245142,82.9658494219012,28.6,20.8349452738821
93,Ireland,88.5883114015248,1.21558109749292,80.7439024390244,0.0136725718894024,89.883283669164,3.5,6.35667109024261
94,Isle of Man,,,78.983,,100,..,..
